trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
322,False,"{'a': 0.6, 'e': 0.03931268082588668}",20,14,10.560888189624603,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.6, 'e': 0.03891955401762781}",35,14,38.880187484702674,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.6, 'e': 0.03853035847745153}",20,10,10.710705628307803,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.6, 'e': 0.03814505489267701}",25,13,23.103738334726835,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.6, 'e': 0.03776360434375024}",30,0,40.49561370984698,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
327,False,"{'a': 0.6, 'e': 0.03738596830031274}",20,4,-58.38608942825158,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 1}",1
328,False,"{'a': 0.6, 'e': 0.03701210861730961}",20,16,7.241755875561823,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.6, 'e': 0.03664198753113651}",25,15,20.04952326309579,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.6, 'e': 0.036275567655825146}",25,2,17.470586824968322,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
331,False,"{'a': 0.6, 'e': 0.03591281197926689}",25,8,28.929229371491626,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.6, 'e': 0.035553683859474224}",30,12,32.18286070593524,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.6, 'e': 0.03519814702087948}",30,18,-1.602724810382521,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
334,False,"{'a': 0.6, 'e': 0.03484616555067068}",20,13,-26.902309726679977,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
335,False,"{'a': 0.6, 'e': 0.034497703895163975}",20,12,15.234737849727322,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.6, 'e': 0.03415272685621234}",20,0,26.5928787204452,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.6, 'e': 0.03381119958765021}",20,7,23.98728127603773,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.6, 'e': 0.03347308759177371}",25,0,25.881300724822164,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
339,False,"{'a': 0.6, 'e': 0.03313835671585597}",30,18,1.0816719624503364,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
340,False,"{'a': 0.6, 'e': 0.03280697314869741}",20,6,24.02019955321638,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.6, 'e': 0.032478903417210436}",20,6,15.505611329081088,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
342,False,"{'a': 0.6, 'e': 0.032154114383038335}",20,13,14.194110395600037,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.6, 'e': 0.03183257323920795}",20,12,16.00295461276331,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.6, 'e': 0.03151424750681587}",20,14,13.169508134537121,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.6, 'e': 0.03119910503174771}",25,13,-20.246111796084186,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
346,False,"{'a': 0.6, 'e': 0.030887113981430233}",25,12,-20.29761806971877,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
347,False,"{'a': 0.6, 'e': 0.03057824284161593}",25,19,13.238532786200937,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.6, 'e': 0.03027246041319977}",30,13,26.741428642492195,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.6, 'e': 0.029969735809067772}",20,6,-8.54879181289011,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
350,False,"{'a': 0.6, 'e': 0.029670038450977095}",35,23,8.995973259800413,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
351,False,"{'a': 0.6, 'e': 0.029373338066467324}",20,4,25.04951584129569,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
